# MTH: Downloaded on 2020-09-09 from:
#
# File generated 2018-10-24 22:54 UTC
# With command line:
#  metadata_file.py -m conf/metadata_ff.conf
#  -g notes/eew/geojson2ew.d-twcs-fastlane
#  -s conf/fastlane_siteloc_20181023.txt
#  -l notes/metadata/PW-Fastlane-legend.txt
#
# URL: http://www.panga.cwu.edu/realtime/data/fastlane_sites_metadata.txt
#
# SNCL:
#    Network code 'PW' refers to CWU processing, not a merged product
#    Component codes for all channels begin with 'LY' (e.g., 'LYN')
#    Location is 00 for all channels
#
# Channels:
#    Displacement and error (sigma) values originate in meters. Correlation
#    values are unitless and range from -1 to 1. For each channel the 
#    geojson2ew plugin applies the corresponding multiplier and truncates
#    the value to an integer.
#
#    E: east/west displacement with east positive
#    N: north/south displacement with north positive
#    Z: up/down displacement with up positive. Referred to as 'U' elsewhere 
#       in configuration and EEW GeoJSON format description.
#    1: error for E channel
#    2: error for N channel
#    3: error for U channel
#    4: EN component of correlation matrix
#    5: EU component of correlation matrix
#    6: UN component of correlation matrix
#    Q: quality indicator -- integer ranging from 0 to 100
#
# Metadata fields
#    Network code  - 2 characters
#    Site code     - typically 4 characters
#    Location      - 2 digits, typically 00
#    Component     - 'LY' + channel identifier as listed above
#    Coordinates   - latitude, longitude (decimal degrees), elevation (meters)
#    Sample Rate   - in Hz
#    Multiplier    - for integer-to-float conversion
#    Units
#    'PPP'         - Fastlane computes Permanent Point Position solutions
#
PW ANA1  00 LYN 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
PW ANA1  00 LYZ 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
PW ANA1  00 LYQ 34.015007 -119.363474 23.12 1 1 - PPP
PW ANA1  00 LY1 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
PW ANA1  00 LY2 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
PW ANA1  00 LY3 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
PW ANA1  00 LY4 34.015007 -119.363474 23.12 1 1e6 - PPP
PW ANA1  00 LY5 34.015007 -119.363474 23.12 1 1e6 - PPP
PW ANA1  00 LY6 34.015007 -119.363474 23.12 1 1e6 - PPP
PW AR27  00 LYE 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LYN 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LYZ 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LYQ 33.341849 -117.324932 33.00 1 1 - PPP
PW AR27  00 LY1 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LY2 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LY3 33.341849 -117.324932 33.00 1 1e6 DU/M PPP
PW AR27  00 LY4 33.341849 -117.324932 33.00 1 1e6 - PPP
PW AR27  00 LY5 33.341849 -117.324932 33.00 1 1e6 - PPP
PW AR27  00 LY6 33.341849 -117.324932 33.00 1 1e6 - PPP
PW AR53  00 LYE 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LYN 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LYZ 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LYQ 33.381136 -117.476507 111.74 1 1 - PPP
PW AR53  00 LY1 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LY2 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LY3 33.381136 -117.476507 111.74 1 1e6 DU/M PPP
PW AR53  00 LY4 33.381136 -117.476507 111.74 1 1e6 - PPP
PW AR53  00 LY5 33.381136 -117.476507 111.74 1 1e6 - PPP
PW AR53  00 LY6 33.381136 -117.476507 111.74 1 1e6 - PPP
PW ARLI  00 LYE 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LYN 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LYZ 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LYQ 48.174066 -122.141861 24.00 1 1 - PPP
PW ARLI  00 LY1 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LY2 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LY3 48.174066 -122.141861 24.00 1 1e6 DU/M PPP
PW ARLI  00 LY4 48.174066 -122.141861 24.00 1 1e6 - PPP
PW ARLI  00 LY5 48.174066 -122.141861 24.00 1 1e6 - PPP
PW ARLI  00 LY6 48.174066 -122.141861 24.00 1 1e6 - PPP
PW ASCG  00 LYE -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LYN -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LYZ -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LYQ -7.916281 -14.332664 38.65 1 1 - PPP
PW ASCG  00 LY1 -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LY2 -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LY3 -7.916281 -14.332664 38.65 1 1e6 DU/M PPP
PW ASCG  00 LY4 -7.916281 -14.332664 38.65 1 1e6 - PPP
PW ASCG  00 LY5 -7.916281 -14.332664 38.65 1 1e6 - PPP
PW ASCG  00 LY6 -7.916281 -14.332664 38.65 1 1e6 - PPP
PW ATLI  00 LYE 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
PW ATLI  00 LYN 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
PW ATLI  00 LYZ 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
PW ATLI  00 LYQ 59.589481 -133.714473 793.62 1 1 - PPP
PW ATLI  00 LY1 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
PW ATLI  00 LY2 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
PW ATLI  00 LY3 59.589481 -133.714473 793.62 1 1e6 DU/M PPP
